year,expanded_rows,median_yield_bu_acre,original_nass_records_reconstructed
1990,297,124.9,99.0
1991,297,118.0,99.0
1992,297,144.8,99.0
1993,594,78.0,198.0
1994,594,151.1,198.0
1995,594,119.8,198.0
1996,891,135.9,297.0
1997,891,137.6,297.0
1998,891,145.4,297.0
1999,1188,148.5,396.0
2000,1188,144.2,396.0
2001,1188,143.3,396.0
2002,1485,163.5,495.0
2003,1485,157.1,495.0
2004,1485,181.4,495.0
2005,1782,174.7,594.0
2006,1782,166.5,594.0
2007,1782,171.1,594.0
2008,2079,171.0,693.0
2009,2079,179.0,693.0
2010,2079,167.3,693.0
2011,2376,172.8,792.0
2012,2376,132.1,792.0
2013,2376,160.5,792.0
2014,2673,176.7,891.0
2015,2619,192.9,873.0
2016,2673,202.3,891.0
2017,2880,200.7,960.0
2018,2880,193.3,960.0
2019,2760,196.64999999999998,920.0
2020,3168,178.4,1056.0
2021,2805,204.5,935.0
2022,3234,198.45,1078.0
2023,3168,202.25,1056.0
2024,2664,212.65,888.0
2025,2880,210.1,960.0
