seed,n_independent_test_years,rmse_bu_acre,mae_bu_acre,r2,rmse_kg_ha,mae_kg_ha
0,8,19.89623267265539,18.376245880126955,-2.906311109280023,1248.8865248625789,1153.476953895569
1,8,17.42797493852009,15.800552749633791,-1.9972224718944704,1093.9539868909062,991.8006960945131
2,8,13.600309952022307,11.229698562622072,-0.8252516040176168,853.6914556884403,704.8881787757875
3,8,15.245104918505987,12.84010925292969,-1.2934324957144532,956.9352357346208,805.9736578063967
4,8,12.300641047741527,9.39740791320801,-0.49307153954249405,772.1112385667357,589.8752947120668
5,8,10.22724567511511,7.396997833251955,-0.032149255565930845,641.9642110269755,464.3095539932253
6,8,12.11501303043002,8.94978942871094,-0.4483479126380643,760.4593679200924,561.7782824401858
7,8,16.04968664466333,13.893320465087893,-1.5418987165675424,1007.4388306855171,872.0837255935671
8,8,9.090436967123077,6.310070419311526,0.1845550525686287,570.6067284263156,396.08312022018447
42,8,14.728813335532628,12.119995498657229,-1.1407238273716809,924.5276130713831,760.7721174507143
